Ticker,Company,Sector
CL,Colgate-Palmolive,Consumer Staples
CLX,Clorox,Consumer Staples
CMCSA,Comcast,Communication Services
CME,CME Group,Financials
CMG,Chipotle Mexican Grill,Consumer Discretionary
CMI,Cummins,Industrials
CNC,Centene,Health Care
CNP,CenterPoint Energy,Utilities
COF,Capital One Financial,Financials
COIN,Coinbase,Financials
COO,CooperCompanies,Health Care
COP,ConocoPhillips,Energy
COST,Costco Wholesale,Consumer Staples
CPAY,Corpay,Financials
CPB,Campbell's Company,Consumer Staples
CPRT,Copart,Consumer Discretionary
CPT,Camden Property Trust,Real Estate
CRH,CRH,Materials
CRL,Charles River Laboratories,Health Care
CRM,Salesforce,Information Technology
CRWD,CrowdStrike,Information Technology
CSCO,Cisco Systems,Information Technology
CSGP,CoStar Group,Real Estate
CTAS,Cintas,Industrials
CTSH,Cognizant Technology Solutions,Information Technology
CTRA,Coterra Energy,Energy
CTVA,Corteva,Materials
CVS,CVS Health,Health Care
CVX,Chevron,Energy
CZR,Caesars Entertainment,Consumer Discretionary
D,Dominion Energy,Utilities
DAL,Delta Air Lines,Industrials
DASH,DoorDash,Consumer Discretionary
DAY,Dayforce,Information Technology
DD,DuPont,Materials
DDOG,Datadog,Information Technology
DE,Deere,Industrials
DECK,Deckers Brands,Consumer Discretionary
DELL,Dell Technologies,Information Technology
DG,Dollar General,Consumer Discretionary
DHI,D.R. Horton,Consumer Discretionary
DHR,Danaher,Health Care
DIS,Walt Disney,Consumer Discretionary
DLR,Digital Realty,Real Estate
DLTR,Dollar Tree,Consumer Discretionary
DOC,Healthpeak Properties,Real Estate
DOV,Dover,Industrials
DOW,Dow,Materials
DPZ,Domino's Pizza,Consumer Discretionary
DRI,Darden Restaurants,Consumer Discretionary
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
DVA,DaVita,Health Care
DVN,Devon Energy,Energy
DXCM,DexCom,Health Care
EBAY,eBay,Consumer Discretionary
ECL,Ecolab,Materials
ED,Consolidated Edison,Utilities
EFX,Equifax,Industrials
EIX,Edison International,Utilities
EL,Estée Lauder,Consumer Staples
EME,EMCOR Group,Industrials
EMN,Eastman Chemical,Materials
EMR,Emerson Electric,Industrials
ENPH,Enphase Energy,Information Technology
EOG,EOG Resources,Energy
EPAM,EPAM Systems,Information Technology
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
EQT,EQT Corporation,Energy
ERIE,Erie Indemnity,Financials
ES,Eversource Energy,Utilities
ESS,Essex Property Trust,Real Estate
ETN,Eaton,Industrials
ETSY,Etsy,Consumer Discretionary
EVRG,Evergy,Utilities
EW,Edwards Lifesciences,Health Care
EXC,Exelon,Utilities
EXPD,Expeditors International,Industrials
EXPE,Expedia Group,Consumer Discretionary
EXR,Extra Space Storage,Real Estate
F,Ford Motor,Consumer Discretionary
FANG,Diamondback Energy,Energy
FAST,Fastenal,Industrials
FCX,Freeport-McMoRan,Materials
FDS,FactSet,Financials
FDX,FedEx,Industrials
FE,FirstEnergy,Utilities
FFIV,F5,Information Technology
FICO,Fair Isaac,Information Technology
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FMC,FMC,Materials
FOX,Fox Corporation,Communication Services
FOXA,Fox Corporation Class A,Communication Services
FRT,Federal Realty Investment Trust,Real Estate
FSLR,First Solar,Information Technology
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
GD,General Dynamics,Industrials
GDDY,GoDaddy,Information Technology
GE,GE Aerospace,Industrials
GEHC,GE HealthCare,Health Care
GEN,Gen Digital,Information Technology
GEV,GE Vernova,Industrials
GILD,Gilead Sciences,Health Care
GIS,General Mills,Consumer Staples
GL,Globe Life,Financials
GLW,Corning,Information Technology
GM,General Motors,Consumer Discretionary
GNRC,Generac,Industrials
GOOG,Alphabet Class C,Communication Services
GOOGL,Alphabet Class A,Communication Services
GPC,Genuine Parts,Consumer Discretionary
GPN,Global Payments,Financials
GRMN,Garmin,Consumer Discretionary
GS,Goldman Sachs,Financials
GWW,W.W. Grainger,Industrials
HAL,Halliburton,Energy
HAS,Hasbro,Consumer Discretionary
HBAN,Huntington Bancshares,Financials
HCA,HCA Healthcare,Health Care
HD,Home Depot,Consumer Discretionary
HIG,Hartford Financial Services,Financials
HII,Huntington Ingalls Industries,Industrials
HLT,Hilton Worldwide,Consumer Discretionary
HOLX,Hologic,Health Care
HON,Honeywell,Industrials
HOOD,Robinhood Markets,Financials
HPE,Hewlett Packard Enterprise,Information Technology
HPQ,HP Inc.,Information Technology
HRL,Hormel Foods,Consumer Staples
HSIC,Henry Schein,Health Care
HST,Host Hotels & Resorts,Real Estate
HSY,Hershey,Consumer Staples
HUBB,Hubbell,Industrials
HUM,Humana,Health Care
HWM,Howmet Aerospace,Industrials
IBM,IBM,Information Technology
ICE,Intercontinental Exchange,Financials
IDXX,IDEXX Laboratories,Health Care
IFF,International Flavors & Fragrances,Materials
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
INTC,Intel,Information Technology
INTU,Intuit,Information Technology
INVH,Invitation Homes,Real Estate
IP,International Paper,Materials
IQV,IQVIA Holdings,Health Care
IR,Ingersoll Rand,Industrials
IRM,Iron Mountain,Real Estate
ISRG,Intuitive Surgical,Health Care
IT,Gartner,Information Technology
ITW,Illinois Tool Works,Industrials
IVZ,Invesco,Financials
J,Jacobs Solutions,Industrials
JBHT,J.B. Hunt Transport Services,Industrials
JCI,Johnson Controls,Industrials
JKHY,Jack Henry & Associates,Information Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase,Financials
KDP,Keurig Dr Pepper,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight Technologies,Information Technology
KHC,Kraft Heinz,Consumer Staples
KIM,Kimco Realty,Real Estate
KKR,KKR,Financials
KLAC,KLA Corporation,Information Technology
KMI,Kinder Morgan,Energy
KO,Coca-Cola,Consumer Staples
KR,Kroger,Consumer Staples
KVUE,Kenvue,Consumer Staples
L,Loews,Financials
LDOS,Leidos,Information Technology
LEN,Lennar,Consumer Discretionary
LHX,L3Harris Technologies,Industrials
LII,Lennox International,Industrials
LIN,Linde,Materials
LLY,Eli Lilly,Health Care
LMT,Lockheed Martin,Industrials
LNT,Alliant Energy,Utilities
LOW,Lowe's,Consumer Discretionary
LRCX,Lam Research,Information Technology
LULU,Lululemon Athletica,Consumer Discretionary
LUV,Southwest Airlines,Consumer Discretionary
LYB,LyondellBasell,Materials
LYV,Live Nation Entertainment,Communication Services
MA,Mastercard,Financials
MAA,Mid-America Apartment Communities,Real Estate
MAR,Marriott International,Consumer Discretionary
MAS,Masco,Industrials
MCD,McDonald's,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MCK,McKesson,Health Care
MCO,Moody's,Financials
MDLZ,Mondelez International,Consumer Staples
MDT,Medtronic,Health Care
META,Meta Platforms,Communication Services
MGM,MGM Resorts International,Consumer Discretionary
MHK,Mohawk Industries,Consumer Discretionary
MKC,McCormick,Consumer Staples
MKTX,MarketAxess,Financials
MLM,Martin Marietta Materials,Materials
MMM,3M,Industrials
MNST,Monster Beverage,Consumer Staples
MO,Altria,Consumer Staples
MOH,Molina Healthcare,Health Care
MPC,Marathon Petroleum,Energy
MPWR,Monolithic Power Systems,Information Technology
MRK,Merck,Health Care
MS,Morgan Stanley,Financials
MSCI,MSCI,Financials
MSFT,Microsoft,Information Technology
MSI,Motorola Solutions,Information Technology
MSTR,Strategy,Information Technology
MTB,M&T Bank,Financials
MTCH,Match Group,Communication Services
MTD,Mettler-Toledo International,Health Care
MU,Micron Technology,Information Technology
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NDAQ,Nasdaq,Financials
NEE,NextEra Energy,Utilities
NEM,Newmont,Materials
NET,Cloudflare,Information Technology
NFLX,Netflix,Communication Services
NI,NiSource,Utilities
NKE,Nike,Consumer Discretionary
NOC,Northrop Grumman,Industrials
NOW,ServiceNow,Information Technology
NRG,NRG Energy,Utilities
NSC,Norfolk Southern,Industrials
NTAP,NetApp,Information Technology
NTRS,Northern Trust,Financials
NUE,Nucor,Materials
NVDA,NVIDIA,Information Technology
NWS,News Corp Class B,Communication Services
NWSA,News Corp Class A,Communication Services
NXPI,NXP Semiconductors,Information Technology
O,Realty Income,Real Estate
ODFL,Old Dominion Freight Line,Industrials
OKE,ONEOK,Energy
ON,ON Semiconductor,Information Technology
ORCL,Oracle,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OTIS,Otis Worldwide,Industrials
PANW,Palo Alto Networks,Information Technology
PAYC,Paycom Software,Information Technology
PAYX,Paychex,Information Technology
PCAR,PACCAR,Industrials
PEG,Public Service Enterprise Group,Utilities
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Health Care
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive,Financials
PH,Parker-Hannifin,Industrials
PHM,PulteGroup,Consumer Discretionary
PKG,Packaging Corporation of America,Materials
PLD,Prologis,Real Estate
PLTR,Palantir Technologies,Information Technology
PM,Philip Morris International,Consumer Staples
PNC,PNC Financial Services,Financials
PNR,Pentair,Industrials
PODD,Insulet,Health Care
POOL,Pool Corporation,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corporation,Utilities
PSA,Public Storage,Real Estate
PSX,Phillips 66,Energy
PWR,Quanta Services,Industrials
PYPL,PayPal,Financials
QCOM,Qualcomm,Information Technology
RCL,Royal Caribbean Group,Consumer Discretionary
REG,Regency Centers,Real Estate
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial,Financials
RHI,Robert Half,Industrials
RJF,Raymond James Financial,Financials
RKT,Rocket Companies,Financials
RL,Ralph Lauren,Consumer Discretionary
RMD,ResMed,Health Care
ROK,Rockwell Automation,Industrials
ROL,Rollins,Industrials
ROP,Roper Technologies,Industrials
ROST,Ross Stores,Consumer Discretionary
RSG,Republic Services,Industrials
RTX,RTX,Industrials
RVTY,Revvity,Health Care
SBAC,SBA Communications,Real Estate
SBUX,Starbucks,Consumer Discretionary
SCHW,Charles Schwab,Financials
SEE,Sealed Air,Materials
SHW,Sherwin-Williams,Materials
SJM,J.M. Smucker,Consumer Staples
SLB,SLB,Energy
SMCI,Super Micro Computer,Information Technology
SNA,Snap-on,Industrials
SNDK,SanDisk,Information Technology
SNPS,Synopsys,Information Technology
SO,Southern Company,Utilities
SOLV,Solventum,Health Care
SPG,Simon Property Group,Real Estate
SPGI,S&P Global,Financials
SPOT,Spotify,Communication Services
SRE,Sempra,Utilities
STE,STERIS,Health Care
STLD,Steel Dynamics,Materials
STT,State Street,Financials
STX,Seagate Technology,Information Technology
STZ,Constellation Brands,Consumer Staples
SW,Smurfit WestRock,Materials
SWK,Stanley Black & Decker,Industrials
SWKS,Skyworks Solutions,Information Technology
SYK,Stryker,Health Care
SYY,Sysco,Consumer Staples
T,AT&T,Communication Services
TAP,Molson Coors Beverage,Consumer Staples
TDG,TransDigm Group,Industrials
TDY,Teledyne Technologies,Industrials
TECH,Bio-Techne,Health Care
TEL,TE Connectivity,Information Technology
TER,Teradyne,Information Technology
TFC,Truist Financial,Financials
TGT,Target,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TMUS,T-Mobile US,Communication Services
TPL,Texas Pacific Land,Energy
TPR,Tapestry,Consumer Discretionary
TRGP,Targa Resources,Energy
TRMB,Trimble,Information Technology
TROW,T. Rowe Price,Financials
TRV,Travelers,Financials
TSCO,Tractor Supply,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
TT,Trane Technologies,Industrials
TTD,The Trade Desk,Information Technology
TTWO,Take-Two Interactive,Communication Services
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
TYL,Tyler Technologies,Information Technology
UAL,United Airlines,Consumer Discretionary
UBER,Uber,Consumer Discretionary
UDR,UDR,Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UNH,UnitedHealth Group,Health Care
UNP,Union Pacific,Industrials
UPS,United Parcel Service,Industrials
USB,U.S. Bancorp,Financials
V,Visa,Financials
VFC,V.F. Corporation,Consumer Discretionary
VICI,VICI Properties,Real Estate
VLO,Valero Energy,Energy
VLTO,Veralto,Industrials
VMC,Vulcan Materials,Materials
VRSK,Verisk Analytics,Industrials
VRTX,Vertex Pharmaceuticals,Health Care
VST,Vistra,Utilities
VTRS,Viatris,Health Care
VZ,Verizon,Communication Services
WAB,Westinghouse Air Brake Technologies,Industrials
WAT,Waters Corporation,Health Care
WDAY,Workday,Information Technology
WDC,Western Digital,Information Technology
WEC,WEC Energy Group,Utilities
WELL,Welltower,Real Estate
WFC,Wells Fargo,Financials
WHR,Whirlpool,Consumer Discretionary
WM,Waste Management,Industrials
WMB,Williams Companies,Energy
WMT,Walmart,Consumer Staples
WRB,W. R. Berkley,Financials
WSO,Watsco,Industrials
WST,West Pharmaceutical Services,Information Technology
WTW,Willis Towers Watson,Financials
WY,Weyerhaeuser,Real Estate
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XOM,Exxon Mobil,Energy
YUM,Yum! Brands,Consumer Discretionary
ZBH,Zimmer Biomet,Health Care
ZBRA,Zebra Technologies,Information Technology
ZS,Zscaler,Information Technology
